GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zigwheels,com.kgisl.zigwheels.model,Car,6,11,0,0,2,5,2,3,2,3
zigwheels,com.kgisl.zigwheels.service,TeamServiceImp,47,0,0,0,9,0,7,0,7,0
zigwheels,com.kgisl.zigwheels.service,CarServiceImpl,19,0,0,0,3,0,2,0,2,0
zigwheels,com.kgisl.zigwheels.controller,CarController,0,7,0,0,0,2,0,2,0,2
zigwheels,com.kgisl.zigwheels.controller,HomeController,5,0,0,0,2,0,2,0,2,0
zigwheels,com.kgisl.zigwheels.controller,TeamController,80,0,4,0,16,0,8,0,6,0
zigwheels,com.kgisl.zigwheels.entity,Team,17,0,0,0,7,0,5,0,5,0
zigwheels,com.kgisl.zigwheels.entity,TeamDto,17,0,0,0,7,0,5,0,5,0
zigwheels,com.kgisl.zigwheels,ZigwheelsApplication,8,0,0,0,3,0,2,0,2,0
zigwheels,com.kgisl.zigwheels.config,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
